ticker,source,exchange,security_name,is_etf_flag
SPY,always_include,,,
QQQ,always_include,,,
IWM,always_include,,,
DIA,always_include,,,
XLK,always_include,,,
XLF,always_include,,,
XLE,always_include,,,
XLI,always_include,,,
XLY,always_include,,,
XLP,always_include,,,
XLV,always_include,,,
XLU,always_include,,,
XLB,always_include,,,
XLRE,always_include,,,
VTI,always_include,,,
VT,always_include,,,
VXUS,always_include,,,
VEA,always_include,,,
VWO,always_include,,,
BND,always_include,,,
TLT,always_include,,,
UUP,always_include,,,
^VIX,always_include,,,
GLD,always_include,,,
SLV,always_include,,,
USO,always_include,,,
BTC-USD,always_include,,,
A,otherlisted,N,"Agilent Technologies, Inc. Common Stock",False
AA,otherlisted,N,Alcoa Corporation Common Stock ,False
AAA,otherlisted,P,Alternative Access First Priority CLO Bond ETF,True
AAAA,otherlisted,Z,Amplius Aggressive Asset Allocation ETF,True
AAAC,otherlisted,P,Columbia AAA CLO ETF,True
AAAU,otherlisted,Z,Goldman Sachs Physical Gold ETF Shares,True
AACB,nasdaqlisted,G,Artius II Acquisition Inc. - Class A Ordinary Shares,False
AACBR,nasdaqlisted,G,Artius II Acquisition Inc. - Rights,False
AACBU,nasdaqlisted,G,Artius II Acquisition Inc. - Units,False
AACG,nasdaqlisted,S,"ATA Creativity Global - American Depositary Shares, each representing two common shares",False
AACIU,nasdaqlisted,G,Armada Acquisition Corp. III - Units,False
AACOU,nasdaqlisted,G,Abony Acquisition Corp. I - Units,False
AADR,nasdaqlisted,G,AdvisorShares Dorsey Wright ADR ETF,True
AAEQ,nasdaqlisted,G,Alpha Architect US Equity 2 ETF,True
AAL,nasdaqlisted,Q,"American Airlines Group, Inc. - Common Stock",False
AALG,nasdaqlisted,G,Leverage Shares 2X Long AAL Daily ETF,True
AAME,nasdaqlisted,G,Atlantic American Corporation - Common Stock,False
AAMI,otherlisted,N,Acadian Asset Management Inc. Common Stock,False
AAOI,nasdaqlisted,G,"Applied Optoelectronics, Inc. - Common Stock",False
AAON,nasdaqlisted,Q,"AAON, Inc. - Common Stock",False
AAP,otherlisted,N,Advance Auto Parts Inc.,False
AAPB,nasdaqlisted,G,GraniteShares 2x Long AAPL Daily ETF,True
AAPD,nasdaqlisted,G,Direxion Daily AAPL Bear 1X Shares,True
AAPG,nasdaqlisted,G,Ascentage Pharma Group International - American Depository Shares,False
AAPL,nasdaqlisted,Q,Apple Inc. - Common Stock,False
AAPR,otherlisted,Z,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,True
AAPU,nasdaqlisted,G,Direxion Daily AAPL Bull 2X Shares,True
AAPW,otherlisted,Z,Roundhill AAPL WeeklyPay ETF,True
AAPX,otherlisted,Z,T-Rex 2X Long Apple Daily Target ETF,True
AAPY,otherlisted,Z,Kurv Yield Premium Strategy Apple (AAPL) ETF,True
AARD,nasdaqlisted,Q,"Aardvark Therapeutics, Inc. - Common Stock",False
AAT,otherlisted,N,"American Assets Trust, Inc. Common Stock",False
AAUC,otherlisted,N,Allied Gold Corporation Common Shares,False
AAUM,otherlisted,Z,Tema Alternative Asset Managers ETF,True
AAUS,nasdaqlisted,G,Alpha Architect US Equity ETF,True
AAVM,nasdaqlisted,G,Alpha Architect Global Factor Equity ETF,True
AAXJ,nasdaqlisted,G,iShares MSCI All Country Asia ex Japan ETF,True
AB,otherlisted,N,AllianceBernstein Holding L.P.  Units,False
ABAT,nasdaqlisted,S,American Battery Technology Company - Common Stock,False
ABBV,otherlisted,N,AbbVie Inc. Common Stock,False
ABCB,otherlisted,N,Ameris Bancorp Common Stock,False
ABCL,nasdaqlisted,Q,AbCellera Biologics Inc. - Common Shares,False
ABCS,nasdaqlisted,G,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,True
ABEO,nasdaqlisted,S,Abeona Therapeutics Inc. - Common Stock,False
ABEQ,otherlisted,P,Absolute Select Value ETF,True
ABEV,otherlisted,N,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),False
ABFL,otherlisted,Z,Abacus FCF Leaders ETF,True
ABG,otherlisted,N,Asbury Automotive Group Inc Common Stock,False
ABI,nasdaqlisted,G,VictoryShares Pioneer Asset-Based Income ETF,True
ABIG,nasdaqlisted,G,Argent Large Cap ETF,True
ABLD,otherlisted,Z,Abacus FCF Real Assets Leaders ETF,True
ABLG,otherlisted,Z,Abacus FCF International Leaders ETF,True
ABLS,otherlisted,Z,Abacus FCF Small Cap Leaders ETF,True
ABLV,nasdaqlisted,S,Able View Global Inc. - Class B Ordinary Shares,False
ABLVW,nasdaqlisted,S,Able View Global Inc. - Warrant,False
ABM,otherlisted,N,ABM Industries Incorporated Common Stock,False
ABNB,nasdaqlisted,Q,"Airbnb, Inc. - Class A Common Stock",False
ABNG,nasdaqlisted,G,Leverage Shares 2x Long ABNB Daily ETF,True
ABNY,otherlisted,P,YieldMax ABNB Option Income Strategy ETF,True
ABOS,nasdaqlisted,Q,"Acumen Pharmaceuticals, Inc. - Common Stock",False
ABOT,otherlisted,Z,Abacus FCF Innovation Leaders ETF,True
ABR,otherlisted,N,Arbor Realty Trust Common Stock,False
ABRD,otherlisted,N,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",False
ABRE,otherlisted,N,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,False
ABRF,otherlisted,N,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",False
ABSI,nasdaqlisted,Q,Absci Corporation - Common Stock,False
ABT,otherlisted,N,Abbott Laboratories Common Stock,False
ABTC,nasdaqlisted,S,American Bitcoin Corp. - Class A Common Stock,False
ABTS,nasdaqlisted,S,Abits Group Inc - Ordinary Shares,False
ABUS,nasdaqlisted,Q,Arbutus Biopharma Corporation - Common Stock,False
ABVC,nasdaqlisted,S,"ABVC BioPharma, Inc. - Common Stock",False
ABVE,nasdaqlisted,G,Above Food Ingredients Inc. - Common Stock,False
ABVEW,nasdaqlisted,G,Above Food Ingredients Inc. - Warrant,False
ABVX,nasdaqlisted,G,Abivax SA - American Depositary Shares,False
ABX,otherlisted,N,"Abacus Global Management, Inc. Class A Common Stock",False
ABXB,otherlisted,Z,Abacus Flexible Bond Leaders ETF,True
ABXL,otherlisted,N,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",False
ACA,otherlisted,N,"Arcosa, Inc. Common Stock ",False
ACAAU,nasdaqlisted,G,Averin Capital Acquisition Corp. - Units,False
ACAD,nasdaqlisted,Q,ACADIA Pharmaceuticals Inc. - Common Stock,False
ACB,nasdaqlisted,S,Aurora Cannabis Inc. - Common Shares,False
ACCL,nasdaqlisted,S,Acco Group Holdings Limited - Class A Ordinary Shares,False
ACCO,otherlisted,N,Acco Brands Corporation Common Stock,False
ACCS,otherlisted,A,ACCESS Newswire Inc. Common Stock,False
ACDC,nasdaqlisted,Q,ProFrac Holding Corp. - Class A Common Stock,False
ACEI,otherlisted,P,Innovator Equity Autocallable Income Strategy ETF,True
ACEL,otherlisted,N,"Accel Entertainment, Inc. ",False
ACEP,nasdaqlisted,G,ARS Core Equity Portfolio ETF,True
ACES,otherlisted,P,ALPS Clean Energy ETF,True
ACET,nasdaqlisted,S,"Adicet Bio, Inc. - Common Stock",False
ACFN,nasdaqlisted,S,"Acorn Energy, Inc. - Common Stock",False
ACGL,nasdaqlisted,Q,Arch Capital Group Ltd. - Common Stock,False
ACGLN,nasdaqlisted,Q,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",False
ACGLO,nasdaqlisted,Q,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",False
ACGR,otherlisted,P,American Century Large Cap Growth ETF,True
ACH,otherlisted,N,"Accendra Health, Inc. Common Stock",False
ACHC,nasdaqlisted,Q,"Acadia Healthcare Company, Inc. - Common Stock",False
ACHR,otherlisted,N,Archer Aviation Inc. Class A Common Stock,False
ACHR-W,otherlisted,N,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",False
ACHV,nasdaqlisted,S,"Achieve Life Sciences, Inc.  - Common Shares",False
ACI,otherlisted,N,"Albertsons Companies, Inc. Class A Common Stock",False
ACIC,nasdaqlisted,S,American Coastal Insurance Corporation - Common Stock,False
ACII,otherlisted,P,Innovator Index Autocallable Income Strategy ETF,True
ACIO,otherlisted,Z,Aptus Collared Investment Opportunity ETF,True
ACIU,nasdaqlisted,G,AC Immune SA - Common Stock,False
ACIW,nasdaqlisted,Q,"ACI Worldwide, Inc. - Common Stock",False
ACKY,otherlisted,P,VistaShares Target 15 ACKtivist Distribution ETF,True
ACLC,otherlisted,P,American Century Large Cap Equity ETF,True
ACLO,otherlisted,N,TCW AAA CLO ETF,True
ACLS,nasdaqlisted,Q,"Axcelis Technologies, Inc. - Common Stock",False
ACLX,nasdaqlisted,Q,"Arcellx, Inc. - Common Stock",False
ACM,otherlisted,N,AECOM Common Stock,False
ACMR,nasdaqlisted,G,"ACM Research, Inc. - Class A Common Stock",False
ACN,otherlisted,N,Accenture plc Class A Ordinary Shares (Ireland),False
ACNB,nasdaqlisted,S,ACNB Corporation - Common Stock,False
ACNT,nasdaqlisted,G,Ascent Industries Co. - Common Stock,False
ACOG,nasdaqlisted,S,Alpha Cognition Inc. - Common Stock,False
ACON,nasdaqlisted,S,"Aclarion, Inc. - Common Stock",False
ACONW,nasdaqlisted,S,"Aclarion, Inc. - Warrant",False
ACP,otherlisted,N,abrdn Income Credit Strategies Fund Common Shares,False
ACPA,otherlisted,N,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,False
ACR,otherlisted,N,ACRES Commercial Realty Corp. Common Stock,False
ACRC,otherlisted,N,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,False
ACRD,otherlisted,N,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,False
ACRE,otherlisted,N,Ares Commercial Real Estate Corporation Common Stock,False
ACRS,nasdaqlisted,Q,"Aclaris Therapeutics, Inc. - Common Stock",False
ACRV,nasdaqlisted,G,"Acrivon Therapeutics, Inc. - Common Stock",False
ACSG,otherlisted,Z,American Century Small Cap Growth Insights ETF,True
ACSI,otherlisted,Z,American Customer Satisfaction ETF,True
ACSV,otherlisted,Z,American Century Small Cap Value Insights ETF,True
ACT,nasdaqlisted,Q,"Enact Holdings, Inc. - Common Stock",False
ACTG,nasdaqlisted,Q,Acacia Research Corporation - Common Stock,False
ACTU,nasdaqlisted,G,"Actuate Therapeutics, Inc. - Common stock",False
ACU,otherlisted,A,Acme United Corporation. Common Stock,False
ACV,otherlisted,N,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,False
ACVA,otherlisted,N,ACV Auctions Inc. Class A Common Stock,False
ACVF,otherlisted,P,American Conservative Values ETF,True
ACVT,otherlisted,P,Advent Convertible Bond ETF,True
ACWI,nasdaqlisted,G,iShares MSCI ACWI ETF,True
ACWV,otherlisted,Z,iShares MSCI Global Min Vol Factor ETF,True
ACWX,nasdaqlisted,G,iShares MSCI ACWI ex U.S. ETF,True
ACXP,nasdaqlisted,S,"Acurx Pharmaceuticals, Inc. - Common Stock",False
AD,otherlisted,N,"Array Digital Infrastructure, Inc. Common Shares",False
ADAC,nasdaqlisted,G,American Drive Acquisition Company - Class A Ordinary Shares,False
ADACU,nasdaqlisted,G,American Drive Acquisition Company - Units,False
ADACW,nasdaqlisted,G,American Drive Acquisition Company - Warrant,False
ADAG,nasdaqlisted,G,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",False
ADAM,nasdaqlisted,Q,"Adamas Trust, Inc. - Common Stock",False
ADAMG,nasdaqlisted,Q,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",False
ADAMH,nasdaqlisted,G,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",False
ADAMI,nasdaqlisted,Q,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",False
ADAML,nasdaqlisted,Q,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",False
ADAMM,nasdaqlisted,Q,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",False
ADAMN,nasdaqlisted,Q,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",False
ADAMO,nasdaqlisted,Q,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",False
